sheet,cell,nearby_label,formula,cached_value
📉 Derivatives Calc,B49,18,"=MAX(A49-$B$41,0)",0
📉 Derivatives Calc,C49,18,=B49-$B$42,-3
📉 Derivatives Calc,D49,18,"=-MAX(A49-$B$41,0)",0
📉 Derivatives Calc,E49,18,=D49+$B$42,3
📉 Derivatives Calc,F49,,"=MAX($B$41-A49,0)",2
📉 Derivatives Calc,G49,,=F49-$B$43,0
📉 Derivatives Calc,H49,,"=-MAX($B$41-A49,0)",-2
📉 Derivatives Calc,I49,,=H49+$B$43,0
📉 Derivatives Calc,B50,20,"=MAX(A50-$B$41,0)",0
📉 Derivatives Calc,C50,20,=B50-$B$42,-3
📉 Derivatives Calc,D50,20,"=-MAX(A50-$B$41,0)",0
📉 Derivatives Calc,E50,20,=D50+$B$42,3
📉 Derivatives Calc,F50,,"=MAX($B$41-A50,0)",0
📉 Derivatives Calc,G50,,=F50-$B$43,-2
📉 Derivatives Calc,H50,,"=-MAX($B$41-A50,0)",0
📉 Derivatives Calc,I50,,=H50+$B$43,2
📉 Derivatives Calc,B51,22,"=MAX(A51-$B$41,0)",2
📉 Derivatives Calc,C51,22,=B51-$B$42,-1
📉 Derivatives Calc,D51,22,"=-MAX(A51-$B$41,0)",-2
📉 Derivatives Calc,E51,22,=D51+$B$42,1
📉 Derivatives Calc,F51,,"=MAX($B$41-A51,0)",0
📉 Derivatives Calc,G51,,=F51-$B$43,-2
📉 Derivatives Calc,H51,,"=-MAX($B$41-A51,0)",0
📉 Derivatives Calc,I51,,=H51+$B$43,2
📉 Derivatives Calc,B52,25,"=MAX(A52-$B$41,0)",5
📉 Derivatives Calc,C52,25,=B52-$B$42,2
📉 Derivatives Calc,D52,25,"=-MAX(A52-$B$41,0)",-5
📉 Derivatives Calc,E52,25,=D52+$B$42,-2
📉 Derivatives Calc,F52,,"=MAX($B$41-A52,0)",0
📉 Derivatives Calc,G52,,=F52-$B$43,-2
📉 Derivatives Calc,H52,,"=-MAX($B$41-A52,0)",0
📉 Derivatives Calc,I52,,=H52+$B$43,2
📉 Derivatives Calc,B53,30,"=MAX(A53-$B$41,0)",10
📉 Derivatives Calc,C53,30,=B53-$B$42,7
📉 Derivatives Calc,D53,30,"=-MAX(A53-$B$41,0)",-10
📉 Derivatives Calc,E53,30,=D53+$B$42,-7
📉 Derivatives Calc,F53,,"=MAX($B$41-A53,0)",0
📉 Derivatives Calc,G53,,=F53-$B$43,-2
📉 Derivatives Calc,H53,,"=-MAX($B$41-A53,0)",0
📉 Derivatives Calc,I53,,=H53+$B$43,2
📉 Derivatives Calc,B54,35,"=MAX(A54-$B$41,0)",15
📉 Derivatives Calc,C54,35,=B54-$B$42,12
📉 Derivatives Calc,D54,35,"=-MAX(A54-$B$41,0)",-15
📉 Derivatives Calc,E54,35,=D54+$B$42,-12
📉 Derivatives Calc,F54,,"=MAX($B$41-A54,0)",0
📉 Derivatives Calc,G54,,=F54-$B$43,-2
📉 Derivatives Calc,H54,,"=-MAX($B$41-A54,0)",0
📉 Derivatives Calc,I54,,=H54+$B$43,2
📉 Derivatives Calc,B55,40,"=MAX(A55-$B$41,0)",20
📉 Derivatives Calc,C55,40,=B55-$B$42,17
📉 Derivatives Calc,D55,40,"=-MAX(A55-$B$41,0)",-20
📉 Derivatives Calc,E55,40,=D55+$B$42,-17
📉 Derivatives Calc,F55,,"=MAX($B$41-A55,0)",0
📉 Derivatives Calc,G55,,=F55-$B$43,-2
📉 Derivatives Calc,H55,,"=-MAX($B$41-A55,0)",0
📉 Derivatives Calc,I55,,=H55+$B$43,2
📉 Derivatives Calc,B66,PV of strike K×e^(-rT) | 1.5 | 1,=B62*EXP(-B63*B64),18.835290671685
📉 Derivatives Calc,B67,Minimum call price ct = pt + St - PV(K) | 1.5 | 1,=B65+B61-B66,0.664709328315027
